Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,ID,Price_per_m2
"Phường Phú Mỹ, Quận 7",16000000000.0,Nhà mặt tiền,90.0,5.0,5.0,4.0,Đông Bắc,unknown,Sổ hồng,48cacf17-a492-4abe-8a83-2e2274006cc0,177777777.7777778
"Phường 10, Quận Phú Nhuận",9950000000.0,"Nhà hẻm, ngõ",75.0,3.0,3.0,1.0,unknown,unknown,Sổ đỏ,5220c4f1-36ab-4a3c-b852-afc43ab3ccec,132666666.66666667
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000.0,"Nhà hẻm, ngõ",19.5,2.0,3.0,1.0,unknown,unknown,Giấy tờ hợp lệ,589da8a4-f5e7-491c-9b03-c4f7404c2383,97435897.43589744
"Thị Trấn Nhà Bè, Huyện Nhà Bè",1900000000.0,"Nhà hẻm, ngõ",19.5,2.0,3.0,1.0,unknown,unknown,Giấy tờ hợp lệ,2789dbdc-177c-41df-b140-5a9f6432afb3,97435897.43589744
"Xã Bình Hưng, Huyện Bình Chánh",1350000000.0,Đất thổ cư,100.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,7b233830-119a-4082-83b4-6f16e5f2f2e6,13500000.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",2350000000.0,"Nhà hẻm, ngõ",68.0,4.0,3.0,3.0,unknown,unknown,Sổ hồng,ca968ea8-dc1f-4da7-821b-51d58663e7ba,34558823.52941176
"Phường Bình Thuận, Quận 7",16000000000.0,Nhà mặt tiền,100.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,2e6e318d-6848-458f-9cf2-9a9d48c494e4,160000000.0
"Phường 3, Quận Gò Vấp",2200000000.0,"Nhà hẻm, ngõ",52.0,4.0,4.0,1.0,unknown,unknown,Sổ hồng,8cd23895-cbd9-42d9-b4fd-cb4e17fd1196,42307692.307692304
"Phường 4, Quận Gò Vấp",2200000000.0,"Nhà hẻm, ngõ",48.0,4.0,4.0,1.0,unknown,unknown,Sổ hồng,c3f733fc-0f3f-4b1b-9359-a930945555b1,45833333.333333336
"Phường An Khánh, TP. Thủ Đức - Quận 2",25000000000.0,Đất thổ cư,171.0,0.0,0.0,1.0,Đông Bắc,unknown,Sổ hồng,ebc66faf-d6a0-43bc-9187-a5a4b8bf74a4,146198830.4093567
"Phường 14, Quận Tân Bình",29800000000.0,Nhà mặt tiền,155.0,32.0,2.0,6.0,unknown,unknown,Sổ hồng,9dedde69-04e6-4396-a452-09e9527be117,192258064.51612905
"Phường 7, Quận Gò Vấp",4350000000.0,"Nhà hẻm, ngõ",32.0,2.0,3.0,3.0,unknown,unknown,Sổ hồng,14c0b46d-3704-498b-b8aa-3f3eb5f16c7f,135937500.0
"Phường 6 (Phường Võ Thị Sáu), Quận 3",79000000000.0,Nhà mặt tiền,252.0,8.0,4.0,3.0,Đông Nam,unknown,Sổ hồng,d05b0433-8f3a-4716-a92f-d6aa48efdfe8,313492063.49206346
"Phường 19, Quận Bình Thạnh",23000000000.0,Nhà mặt tiền,81.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,f8b44b3e-6fc0-4b0c-863a-dc6f30ac0a7d,283950617.2839506
"Phường Tân Thuận Đông, Quận 7",915000000.0,"Nhà hẻm, ngõ",60.0,4.0,3.0,2.0,unknown,unknown,Sổ hồng,2df54c41-242e-40b2-880b-979268e8ac19,15250000.0
"Phường 12, Quận Bình Thạnh",21000000000.0,Nhà mặt tiền,255.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,522d5fcf-3a1a-4150-a1d9-bd3ebfd0bedf,82352941.1764706
"Phường 5, Quận Tân Bình",6100000000.0,"Nhà hẻm, ngõ",45.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,61dfe1b0-8e5b-4ebe-b237-10e18d985d3b,135555555.55555555
"Phường 8, Quận Tân Bình",1550000000.0,"Nhà hẻm, ngõ",15.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,84caf398-f1a3-410c-8ed1-577653ad5cc0,103333333.33333333
"Phường 11, Quận Bình Thạnh",8000000000.0,Nhà mặt tiền,42.0,3.0,3.0,1.0,unknown,unknown,Sổ hồng,88f06e22-a03d-40a1-938a-569e66babff5,190476190.47619048
"Phường 15, Quận 5",23500000000.0,Nhà mặt tiền,68.0,3.0,2.0,5.0,unknown,unknown,Sổ hồng,e3a06da6-4bf4-4957-8f86-29da6d1d6668,345588235.2941176
"Phường 2, Quận Phú Nhuận",3390000000.0,"Nhà hẻm, ngõ",56.0,4.0,4.0,1.0,unknown,unknown,Sổ hồng,90043784-bdf8-4848-8b76-88e2ac5a09e4,60535714.28571428
"Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức",4500000000.0,"Nhà hẻm, ngõ",113.0,4.0,2.0,2.0,Đông Bắc,Đông Bắc,Sổ hồng,efb2f673-f36f-4ef4-a8cf-4de0717efb2e,39823008.84955752
"Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức",7500000000.0,"Nhà hẻm, ngõ",73.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,1a6c5a28-c327-4b84-ab4c-104de4df824b,102739726.02739726
"Xã Tân Thạnh Đông, Huyện Củ Chi",750000000.0,Đất thổ cư,165.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,7ce7e7b6-5ae0-4368-8ba7-2065b60bb5ed,4545454.545454546
"Phường 5, Quận 8",8000000000.0,"Nhà hẻm, ngõ",69.0,4.0,4.0,4.0,Tây,Tây,Sổ hồng,0813f01e-2fa4-44f0-91fa-4e460d8cdb6b,115942028.98550725
"Phường Bình Trị Đông, Quận Bình Tân",2630000000.0,"Nhà hẻm, ngõ",40.0,2.0,1.0,1.0,unknown,unknown,Sổ hồng,d6b86db1-49f6-4abe-a881-6010054d1372,65750000.0
"Phường Hiệp Tân, Quận Tân Phú",18000000000.0,"Nhà hẻm, ngõ",156.0,33.0,33.0,1.0,unknown,unknown,Sổ hồng,2a118d55-701d-4813-b54b-37763abc52ba,115384615.38461539
"Phường 4, Quận 4",3190000000.0,"Nhà hẻm, ngõ",64.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,45fc9552-40a1-4be9-ad17-788e3dac51d2,49843750.0
"Phường 15, Quận Phú Nhuận",9500000000.0,"Nhà hẻm, ngõ",68.0,6.0,7.0,1.0,unknown,unknown,Sổ hồng,164ec039-79e9-40a5-8d74-002bdc3cf837,139705882.3529412
"Xã Tân Thông Hội, Huyện Củ Chi",590000000.0,Đất thổ cư,140.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,4041059e-51b6-4cb4-8109-e06754f0c579,4214285.714285715
"Phường 3, Quận Bình Thạnh",25200000000.0,Nhà mặt tiền,108.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,c0eae84c-90a8-494e-bfbc-6a7a4719acfe,233333333.33333334
"Phường 12, Quận 10",8600000000.0,"Nhà hẻm, ngõ",42.9,3.0,2.0,1.0,unknown,unknown,Sổ hồng,4da099d1-8507-46ec-a8c6-08818e0ac879,200466200.46620047
"Xã Phước Kiển, Huyện Nhà Bè",9000000000.0,Đất thổ cư,144.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,cb1ea368-ee9b-4f81-9237-841588773a77,62500000.0
"Phường 5, Quận 8",6900000000.0,"Nhà hẻm, ngõ",60.0,5.0,6.0,4.0,unknown,unknown,Sổ hồng,6a9de8dd-6a2b-4dfb-816e-2d842eb632f6,115000000.0
"Phường Tân Phú, TP. Thủ Đức - Quận 9",5500000000.0,"Đất dự án, Khu dân cư",112.0,0.0,0.0,1.0,Đông Nam,unknown,Sổ hồng,b51c2074-f530-4eb6-8abc-4fee2500f817,49107142.85714286
"Phường 5, Quận Tân Bình",6100000000.0,"Nhà hẻm, ngõ",45.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,111523e6-6937-4cc2-82a2-a0db4264a35d,135555555.55555555
"Phường 8, Quận Tân Bình",1550000000.0,"Nhà hẻm, ngõ",15.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,c4f87790-55a8-476d-a1d2-6fd319d37100,103333333.33333333
"Phường 11, Quận Bình Thạnh",8000000000.0,Nhà mặt tiền,42.0,3.0,3.0,1.0,unknown,unknown,Sổ hồng,a2925e9d-beb2-4fe6-9435-718decfc8976,190476190.47619048
