params,mean_test_score,std_test_score,rank_test_score
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.9794767522959061,0.01267738865088159,1
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.978403092792376,0.012556923695230728,2
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.9775998233819427,0.013641958998733985,3
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.9761210610153814,0.013890589439552842,4
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9759965224387775,0.013933310619800677,5
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.9754525041814317,0.014142254880203793,6
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.9749398477876697,0.0161812874928242,7
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8}",0.9745272920598168,0.014533356015160728,8
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9745236733812339,0.014195200434420904,9
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8}",0.9745232353836053,0.014533105519182339,10
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.974336223665136,0.013119296999444394,11
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8}",0.9742292209305337,0.01463192207399846,12
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9736669996983528,0.01641797309873605,13
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.9729176954844257,0.015478818256076375,14
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.9728745479609573,0.018149692041657322,15
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9724018448209071,0.018165872630513634,16
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8}",0.9706599539149077,0.017366189483336594,17
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8}",0.9702596683805309,0.01770292280159171,18
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9701955463694054,0.015992360890135834,19
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9699977414455601,0.01755017436639286,20
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.9681940930376193,0.020365609772231313,21
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8}",0.9661521736598301,0.01938144697241387,22
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9615636490868702,0.01818411651815939,23
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9595889903762325,0.01863739211210394,24
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",0.9593174517134416,0.024927774164534823,25
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9591890762111193,0.024919402893726624,26
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",0.9588255056630428,0.024960683501668735,27
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",0.957295220592485,0.0265767045659422,28
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9569943468002823,0.02663730085731947,29
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0}",0.956501439551316,0.023790211366717995,30
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",0.9563812701844803,0.023823667879563165,31
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",0.9555906676469867,0.023469902595959553,32
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0}",0.9555906676469867,0.023469902595959553,32
"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.9554321701748766,0.02351361029914294,34
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",0.9546136317688048,0.027107050427425044,35
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.9540909031085978,0.021647415687304564,36
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.9540259085918894,0.024272390541908585,37
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8}",0.952703037767202,0.021752317409595417,38
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",0.9429198425112293,0.028979809978321176,39
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0}",0.9422801410098167,0.02567627033547488,40
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.9257166436703415,0.024383446249272956,41
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.9244278767916203,0.023034726580812678,42
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9215413692401444,0.021462961523219026,43
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8}",0.9212422646694861,0.02156492893685108,44
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",0.9141132568782855,0.026007576974368285,45
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9128777906353329,0.030475683629064707,46
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.8646143517491216,0.02617503343179329,47
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.8624895009056953,0.025169909013599594,48
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.7775973521622577,0.025011793848382997,49
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8}",0.7771440510168022,0.019157380764874755,50
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.7759382402574897,0.01927115267031891,51
"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",0.7745845326505879,0.02734578000391352,52
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6871492221225002,0.021288993590749768,53
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6842349819097095,0.02171129350140347,54
