Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,ID,Price_per_m2
"Phường 15, Quận Bình Thạnh",22.14878091145997,"Nhà hẻm, ngõ",36.0,4.0,3.0,2.0,,,Sổ hồng,a8cd70fd-2b9a-498c-855a-c8c699093770,115555555.55555555
"Phường Thạnh Xuân, Quận 12",22.59506801400185,"Nhà hẻm, ngõ",138.0,4.0,3.0,2.0,,,Sổ hồng,80a167d3-7472-45a4-a3ff-80826e96391e,47101449.27536232
"Phường 5, Quận Gò Vấp",23.85876005291904,"Nhà hẻm, ngõ",135.0,4.0,3.0,5.0,Tây Nam,,Sổ hồng,ae77020f-2ec7-46ae-a323-31e046f65979,170370370.37037036
"Xã Phạm Văn Hai, Huyện Bình Chánh",24.36085199669911,Nhà mặt tiền,900.0,4.0,3.0,1.0,Đông Nam,,Sổ hồng,696e6421-4d9b-473f-9eab-f4e80602f099,42222222.222222224
"Phường 1, Quận Tân Bình",22.59506801400185,Đất thổ cư,48.0,0.0,0.0,1.0,,,Sổ hồng,bf11e0b4-8611-4daf-a6fb-1b7a239748c2,135416666.66666666
"Phường 14, Quận 3",24.49602677506404,"Biệt thự, Villa",160.0,4.0,3.0,5.0,,,Giấy tờ hợp lệ,bd2f4d3c-6b26-4ffd-80a2-a81b6100535d,271875000.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",23.667704816165482,Nhà mặt tiền,120.0,4.0,3.0,1.0,Tây Bắc,,Sổ hồng,11b8a912-fcfb-44d2-8a12-5cacb04b1038,158333333.33333334
"Phường An Phú Đông, Quận 12",22.98502893552437,Nhà mặt tiền,100.1,4.0,3.0,1.0,,,Sổ hồng,28d45053-8c9f-4fac-ab57-66e82c75acb7,95904095.9040959
"Phường 11, Quận Phú Nhuận",21.12204195757492,"Nhà hẻm, ngõ",11.0,4.0,3.0,1.0,Đông,Đông,Sổ hồng,9634acb1-58eb-4be6-8054-ca4a4e25a486,135454545.45454547
"Phường 15, Quận Tân Bình",21.343842325209156,"Nhà hẻm, ngõ",16.0,4.0,3.0,3.0,Tây Nam,Tây Nam,Sổ hồng,69e9ecbd-2e74-4b3b-91dc-7e8ff26ee9ff,116250000.0
"Phường Tân Phong, Quận 7",23.693680302567394,Nhà mặt tiền,90.0,4.0,3.0,4.0,,Bắc,Sổ hồng,a12979d3-d488-4012-be4f-56629cf768e7,216666666.66666666
"Phường 9, Quận Phú Nhuận",23.55647918106145,Nhà mặt tiền,67.0,4.0,3.0,1.0,,,Sổ hồng,7957525c-2bb1-45ae-ba91-6a58fba017d4,253731343.2835821
"Phường 5, Quận Bình Thạnh",22.875028040322153,"Nhà hẻm, ngõ",51.8,4.0,3.0,4.0,Tây Nam,Tây Nam,Sổ hồng,557348f8-b1b3-4e3c-adef-e57abdacdbe6,166023166.02316603
"Phường 24, Quận Bình Thạnh",22.68195117763149,"Nhà hẻm, ngõ",32.0,4.0,3.0,3.0,,,Sổ đỏ,dbdb690e-7bb5-4476-992b-3cbd889f2f2e,221562500.0
"Phường 22, Quận Bình Thạnh",23.61917777527344,Nhà mặt tiền,80.0,4.0,3.0,1.0,,,Sổ hồng,786e400d-ff40-4dde-b4c8-7a7dd8940132,226250000.0
"Phường 13, Quận Phú Nhuận",23.248994481334666,"Nhà hẻm, ngõ",66.0,4.0,3.0,4.0,Đông Bắc,Đông Bắc,Sổ hồng,0c709e6f-be23-4b50-9b7a-fd34dad206dc,189393939.3939394
"Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức",23.901319667336022,"Nhà hẻm, ngõ",840.0,4.0,3.0,1.0,,,Sổ hồng,3003c6c9-ff5b-4bd9-a1fd-483acf577aaa,28571428.57142857
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",21.67492371304396,Nhà mặt tiền,23.5,4.0,3.0,1.0,,,Sổ hồng,32d3c6a6-3315-46dc-bbe0-1eccdc12ce6d,110212765.95744681
"Phường 5, Quận Tân Bình",22.498218188027575,"Nhà hẻm, ngõ",60.2,4.0,3.0,3.0,Đông,Đông,Sổ đỏ,0f1213ba-f8ef-454e-906b-0b21d474f150,98006644.51827241
"Phường Tăng Nhơn Phú A, TP. Thủ Đức - Quận 9",21.854667948760092,Đất thổ cư,71.0,0.0,0.0,1.0,,,Sổ hồng,1768143f-e520-4cec-a716-13e3833c5882,43661971.83098592
"Phường 1, Quận Gò Vấp",22.312501042267073,"Nhà hẻm, ngõ",40.0,4.0,3.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,a72ba073-b013-45fd-a86b-8d2a2443e300,122500000.0
"Phường 13, Quận 10",22.27082834587519,"Nhà hẻm, ngõ",41.0,4.0,3.0,3.0,,,Sổ hồng,5c9517d8-8a97-4076-843f-cb60246b0eb1,114634146.34146342
"Phường Phú Mỹ, Quận 7",23.49585455924869,Nhà mặt tiền,90.0,4.0,3.0,3.0,Bắc,Bắc,Sổ hồng,659fb819-2e1e-4831-8efd-c97dff0f08cf,177777777.7777778
"Phường 12, Quận Gò Vấp",22.86919712001204,"Nhà hẻm, ngõ",70.0,4.0,3.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,88f5f1dc-ac61-4a5e-99a2-1d3875da82d5,122142857.14285715
"Phường An Khánh, TP. Thủ Đức - Quận 2",23.7189981105504,Nhà mặt tiền,136.0,4.0,3.0,1.0,Nam,Nam,Sổ hồng,86f3f448-ca6a-4776-b369-9f061f218d87,147058823.52941176
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",21.90192083359575,"Nhà hẻm, ngõ",59.0,4.0,3.0,2.0,,,Sổ hồng,e48da852-5ba4-47d0-a5d7-df4b641e9524,55084745.76271187
"Phường 15, Quận Bình Thạnh",23.667704816165482,"Nhà hẻm, ngõ",54.5,4.0,3.0,7.0,,,Sổ hồng,3bbd0f82-4bc4-4d45-9dd3-1aab2a5b4941,348623853.21100914
"Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức",22.24714586123673,"Nhà hẻm, ngõ",64.2,4.0,3.0,2.0,,,Sổ hồng,69d0a46a-9688-47e1-8011-2f9e6ae8d776,71495327.10280374
"Phường 7, Quận Phú Nhuận",22.513357249240713,Nhà mặt tiền,47.0,4.0,3.0,1.0,Đông Nam,Đông,Sổ hồng,c23438f3-e74b-4fa4-a010-2afe09038b2a,127446808.5106383
"Phường 15, Quận Tân Bình",22.88658886272189,"Nhà hẻm, ngõ",56.0,4.0,3.0,5.0,,,Sổ hồng,4d74144c-cf9b-43fe-b9ef-608720480c96,155357142.85714287
"Phường 16, Quận Gò Vấp",22.26228128529856,"Nhà hẻm, ngõ",37.0,4.0,3.0,1.0,Bắc,,Sổ hồng,496c2642-6104-4344-9c8d-eecbe2f8bbdd,125945945.94594595
