Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,ID,Price_per_m2
"Phường 15, Quận Bình Thạnh",22.14878091145997,"Nhà hẻm, ngõ",36.0,4.0,3.0,2.0,unknown,unknown,Sổ hồng,479b4185-dcde-4267-ad9e-2db6e1224e53,115555555.55555555
"Phường Thạnh Xuân, Quận 12",22.59506801400185,"Nhà hẻm, ngõ",138.0,3.0,3.0,2.0,unknown,unknown,Sổ hồng,db4afdda-7a02-4b16-bd0d-b0f8773421d5,47101449.27536232
"Phường 5, Quận Gò Vấp",23.85876005291904,"Nhà hẻm, ngõ",135.0,21.0,21.0,5.0,Tây Nam,unknown,Sổ hồng,9748510e-a9c8-4908-916a-0d4f1973b123,170370370.37037036
"Xã Phạm Văn Hai, Huyện Bình Chánh",24.36085199669911,Nhà mặt tiền,900.0,3.0,2.0,1.0,Đông Nam,unknown,Sổ hồng,0b6cbaf8-e62f-4775-92ee-a10c4e5b5ecf,42222222.222222224
"Phường 14, Quận 3",24.49602677506404,"Biệt thự, Villa",160.0,9.0,9.0,5.0,unknown,unknown,Giấy tờ hợp lệ,64053e54-7be2-40e2-bfe3-1ad926ce734f,271875000.0
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",23.667704816165482,Nhà mặt tiền,120.0,3.0,5.0,1.0,Tây Bắc,unknown,Sổ hồng,a63773c5-2698-435b-9e02-7d69322dfeb3,158333333.33333334
"Phường An Phú Đông, Quận 12",22.98502893552437,Nhà mặt tiền,100.1,3.0,2.0,1.0,unknown,unknown,Sổ hồng,0a55217d-37c2-4b5d-844f-9c9a9910a866,95904095.9040959
"Phường 11, Quận Phú Nhuận",21.12204195757492,"Nhà hẻm, ngõ",11.0,1.0,1.0,1.0,Đông,Đông,Sổ hồng,56c5a94d-0121-4c41-b8af-0c306da69069,135454545.45454547
"Phường 15, Quận Tân Bình",21.343842325209156,"Nhà hẻm, ngõ",16.0,2.0,2.0,3.0,Tây Nam,Tây Nam,Sổ hồng,ebb83fd7-4873-44e6-84e3-d21a17d730df,116250000.0
"Phường Tân Phong, Quận 7",23.693680302567394,Nhà mặt tiền,90.0,5.0,4.0,4.0,unknown,Bắc,Sổ hồng,5e00c070-79df-47b8-8adb-d906e7635158,216666666.66666666
"Phường 9, Quận Phú Nhuận",23.55647918106145,Nhà mặt tiền,67.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,5d80ef93-c338-45f3-af79-45c0d0c320c2,253731343.2835821
"Phường 5, Quận Bình Thạnh",22.875028040322153,"Nhà hẻm, ngõ",51.8,4.0,5.0,4.0,Tây Nam,Tây Nam,Sổ hồng,c032e980-8837-4635-86f2-8a33f993c48c,166023166.02316603
"Phường 24, Quận Bình Thạnh",22.68195117763149,"Nhà hẻm, ngõ",32.0,4.0,3.0,3.0,unknown,unknown,Sổ đỏ,e8d22a25-4568-43b6-b940-921e66cb7459,221562500.0
"Phường 22, Quận Bình Thạnh",23.61917777527344,Nhà mặt tiền,80.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,163b490c-4a23-482b-af00-9eada90b97bd,226250000.0
"Phường 13, Quận Phú Nhuận",23.248994481334666,"Nhà hẻm, ngõ",66.0,4.0,5.0,4.0,Đông Bắc,Đông Bắc,Sổ hồng,e5f23bba-c01a-405f-887e-684eb3818406,189393939.3939394
"Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức",23.901319667336022,"Nhà hẻm, ngõ",840.0,38.0,2.0,1.0,unknown,unknown,Sổ hồng,e0177f9f-e052-4003-b5bb-4e8f126a5730,28571428.57142857
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",21.67492371304396,Nhà mặt tiền,23.5,2.0,2.0,1.0,unknown,unknown,Sổ hồng,79b3eab5-2046-4bb7-b62f-46ad2f7530c0,110212765.95744681
"Phường 5, Quận Tân Bình",22.498218188027575,"Nhà hẻm, ngõ",60.2,3.0,3.0,3.0,Đông,Đông,Sổ đỏ,36f3029e-39f5-4cc8-8568-a630dbcdd4a5,98006644.51827241
"Phường 1, Quận Gò Vấp",22.312501042267073,"Nhà hẻm, ngõ",40.0,3.0,4.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,86b990c5-0853-422e-98e0-03f48ab81cce,122500000.0
"Phường 13, Quận 10",22.27082834587519,"Nhà hẻm, ngõ",41.0,4.0,1.0,3.0,unknown,unknown,Sổ hồng,d9a8ae24-fcb5-4dc0-b59f-0c69f603253d,114634146.34146342
"Phường Phú Mỹ, Quận 7",23.49585455924869,Nhà mặt tiền,90.0,5.0,5.0,3.0,Bắc,Bắc,Sổ hồng,994d4d75-93b5-42d2-bc03-d65f595642d1,177777777.7777778
"Phường 12, Quận Gò Vấp",22.86919712001204,"Nhà hẻm, ngõ",70.0,4.0,5.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,9ab80ca7-4289-40bf-8064-ec577bc42a03,122142857.14285715
"Phường An Khánh, TP. Thủ Đức - Quận 2",23.7189981105504,Nhà mặt tiền,136.0,2.0,2.0,1.0,Nam,Nam,Sổ hồng,584feec9-d58a-4e21-ad7f-0f66da6a4844,147058823.52941176
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",21.90192083359575,"Nhà hẻm, ngõ",59.0,5.0,2.0,2.0,unknown,unknown,Sổ hồng,9019a925-8111-4d1f-a7e3-cbe94cdf5926,55084745.76271187
"Phường 15, Quận Bình Thạnh",23.667704816165482,"Nhà hẻm, ngõ",54.5,9.0,9.0,7.0,unknown,unknown,Sổ hồng,470127b7-e700-4c28-9e7a-81bf05b4b41c,348623853.21100914
"Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức",22.24714586123673,"Nhà hẻm, ngõ",64.2,3.0,2.0,2.0,unknown,unknown,Sổ hồng,b88101e2-3f4f-4ac6-a65e-ad474e91b5b6,71495327.10280374
"Phường 7, Quận Phú Nhuận",22.513357249240713,Nhà mặt tiền,47.0,6.0,3.0,1.0,Đông Nam,Đông,Sổ hồng,bd7a062d-f5cf-4c54-9c1b-78cd257ba306,127446808.5106383
"Phường 15, Quận Tân Bình",22.88658886272189,"Nhà hẻm, ngõ",56.0,3.0,2.0,5.0,unknown,unknown,Sổ hồng,3da70cff-33f8-49cc-8a5b-ba4d0c013e4e,155357142.85714287
"Phường 16, Quận Gò Vấp",22.26228128529856,"Nhà hẻm, ngõ",37.0,3.0,2.0,1.0,Bắc,unknown,Sổ hồng,647b05ca-33ee-4d87-aac6-5863216c3900,125945945.94594595
"Phường Bình Hưng Hòa A, Quận Bình Tân",22.920490414393743,Nhà mặt tiền,40.0,1.0,1.0,1.0,Bắc,Bắc,Sổ hồng,59c1f34b-f968-43eb-b1f0-587d946d195f,225000000.0
"Phường 13, Quận Bình Thạnh",24.529928326738954,Nhà mặt tiền,150.0,6.0,7.0,3.0,unknown,unknown,Sổ hồng,7055368b-95fc-4a32-8952-f7890ba16236,300000000.0
